,,PLC -> PC,,,,,,PLC <- PC,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,
M158 ERROR9,M358 ITEM 2 +OK,M,158,248,ERROR9,,,M,358,568,ITEM 2 +OK,+OK
M159 ERROR10,M359 ITEM 2 +NG,M,159,249,ERROR10,,,M,359,569,ITEM 2 +NG,+NG
M15A ERROR11,M35A ITEM 3 -NG,M,15A,250,ERROR11,,,M,35A,570,ITEM 3 -NG,-NG
M15B ERROR12,M35B ITEM 3 -OK,M,15B,251,ERROR12,,,M,35B,571,ITEM 3 -OK,-OK
M15C ERROR13,M35C ITEM 3 OK,M,15C,252,ERROR13,,,M,35C,572,ITEM 3 OK,OK
M15D ERROR14,M35D ITEM 3 +OK,M,15D,253,ERROR14,,,M,35D,573,ITEM 3 +OK,+OK
M15E ERROR15,M35E ITEM 3 +NG,M,15E,254,ERROR15,,,M,35E,574,ITEM 3 +NG,+NG
M15F ERROR16,M35F ITEM 4 -NG,M,15F,255,ERROR16,,,M,35F,575,ITEM 4 -NG,-NG
M160 ERROR17,M360 ITEM 4 -OK,M,160,256,ERROR17,,,M,360,576,ITEM 4 -OK,-OK
M161 ERROR18,M361 ITEM 4 OK,M,161,257,ERROR18,,,M,361,577,ITEM 4 OK,OK
M162 ERROR19,M362 ITEM 4 +OK,M,162,258,ERROR19,,,M,362,578,ITEM 4 +OK,+OK
M163 ERROR20,M363 ITEM 4 +NG,M,163,259,ERROR20,,,M,363,579,ITEM 4 +NG,+NG
M164 ERROR21,M364 ITEM 5 -NG,M,164,260,ERROR21,,,M,364,580,ITEM 5 -NG,-NG
M165 ERROR22,M365 ITEM 5 -OK,M,165,261,ERROR22,,,M,365,581,ITEM 5 -OK,-OK
M166 ERROR23,M366 ITEM 5 OK,M,166,262,ERROR23,,,M,366,582,ITEM 5 OK,OK
M167 ERROR24,M367 ITEM 5 +OK,M,167,263,ERROR24,,,M,367,583,ITEM 5 +OK,+OK
M168 ERROR25,M368 ITEM 5 +NG,M,168,264,ERROR25,,,M,368,584,ITEM 5 +NG,+NG
M169 ERROR26,M369 ITEM 6 -NG,M,169,265,ERROR26,,,M,369,585,ITEM 6 -NG,-NG
M16A ERROR27,M36A ITEM 6 -OK,M,16A,266,ERROR27,,,M,36A,586,ITEM 6 -OK,-OK
M16B ERROR28,M36B ITEM 6 OK,M,16B,267,ERROR28,,,M,36B,587,ITEM 6 OK,OK
M16C ERROR29,M36C ITEM 6 +OK,M,16C,268,ERROR29,,,M,36C,588,ITEM 6 +OK,+OK
M16D ERROR30,M36D ITEM 6 +NG,M,16D,269,ERROR30,,,M,36D,589,ITEM 6 +NG,+NG
M16E ERROR31,M36E ITEM 7 -NG,M,16E,270,ERROR31,,,M,36E,590,ITEM 7 -NG,-NG
M16F ERROR32,M36F ITEM 7 -OK,M,16F,271,ERROR32,,,M,36F,591,ITEM 7 -OK,-OK
M170 ERROR33,M370 ITEM 7 OK,M,170,272,ERROR33,,,M,370,592,ITEM 7 OK,OK
M171 ERROR34,M371 ITEM 7 +OK,M,171,273,ERROR34,,,M,371,593,ITEM 7 +OK,+OK
M172 ERROR35,M372 ITEM 7 +NG,M,172,274,ERROR35,,,M,372,594,ITEM 7 +NG,+NG
M173 ERROR36,M373 ITEM 8 -NG,M,173,275,ERROR36,,,M,373,595,ITEM 8 -NG,-NG
M174 ERROR37,M374 ITEM 8 -OK,M,174,276,ERROR37,,,M,374,596,ITEM 8 -OK,-OK
M175 ERROR38,M375 ITEM 8 OK,M,175,277,ERROR38,,,M,375,597,ITEM 8 OK,OK
M176 ERROR39,M376 ITEM 8 +OK,M,176,278,ERROR39,,,M,376,598,ITEM 8 +OK,+OK
M177 ERROR40,M377 ITEM 8 +NG,M,177,279,ERROR40,,,M,377,599,ITEM 8 +NG,+NG
M178 ERROR41,M378 ITEM 9 -NG,M,178,280,ERROR41,,,M,378,600,ITEM 9 -NG,-NG
M179 ERROR42,M379 ITEM 9 -OK,M,179,281,ERROR42,,,M,379,601,ITEM 9 -OK,-OK
M17A ERROR43,M37A ITEM 9 OK,M,17A,282,ERROR43,,,M,37A,602,ITEM 9 OK,OK
M17B ERROR44,M37B ITEM 9 +OK,M,17B,283,ERROR44,,,M,37B,603,ITEM 9 +OK,+OK
M17C ERROR45,M37C ITEM 9 +NG,M,17C,284,ERROR45,,,M,37C,604,ITEM 9 +NG,+NG
M17D ERROR46,M37D ITEM 10 -NG,M,17D,285,ERROR46,,,M,37D,605,ITEM 10 -NG,-NG
M17E ERROR47,M37E ITEM 10 -OK,M,17E,286,ERROR47,,,M,37E,606,ITEM 10 -OK,-OK
M17F ERROR48,M37F ITEM 10 OK,M,17F,287,ERROR48,,,M,37F,607,ITEM 10 OK,OK
M180 ERROR49,M380 ITEM 10 +OK,M,180,288,ERROR49,,,M,380,608,ITEM 10 +OK,+OK
M181 ERROR50,M381 ITEM 10 +NG,M,181,289,ERROR50,,,M,381,609,ITEM 10 +NG,+NG
M182 ERROR51,M382 ITEM 11 -NG,M,182,290,ERROR51,,,M,382,610,ITEM 11 -NG,-NG
M183 ERROR52,M383 ITEM 11 -OK,M,183,291,ERROR52,,,M,383,611,ITEM 11 -OK,-OK
M184 ERROR53,M384 ITEM 11 OK,M,184,292,ERROR53,,,M,384,612,ITEM 11 OK,OK
M185 ERROR54,M385 ITEM 11 +OK,M,185,293,ERROR54,,,M,385,613,ITEM 11 +OK,+OK
M186 ERROR55,M386 ITEM 11 +NG,M,186,294,ERROR55,,,M,386,614,ITEM 11 +NG,+NG
M187 ERROR56,M387 ITEM 12 -NG,M,187,295,ERROR56,,,M,387,615,ITEM 12 -NG,-NG
M188 ERROR57,M388 ITEM 12 -OK,M,188,296,ERROR57,,,M,388,616,ITEM 12 -OK,-OK
M189 ERROR58,M389 ITEM 12 OK,M,189,297,ERROR58,,,M,389,617,ITEM 12 OK,OK
M18A ERROR59,M38A ITEM 12 +OK,M,18A,298,ERROR59,,,M,38A,618,ITEM 12 +OK,+OK
M18B ERROR60,M38B ITEM 12 +NG,M,18B,299,ERROR60,,,M,38B,619,ITEM 12 +NG,+NG
M18C ERROR61,M38C ITEM 13 -NG,M,18C,300,ERROR61,,,M,38C,620,ITEM 13 -NG,-NG
M18D ERROR62,M38D ITEM 13 -OK,M,18D,301,ERROR62,,,M,38D,621,ITEM 13 -OK,-OK
M18E ERROR63,M38E ITEM 13 OK,M,18E,302,ERROR63,,,M,38E,622,ITEM 13 OK,OK
M18F ERROR64,M38F ITEM 13 +OK,M,18F,303,ERROR64,,,M,38F,623,ITEM 13 +OK,+OK
M190 ERROR65,M390 ITEM 13 +NG,M,190,304,ERROR65,,,M,390,624,ITEM 13 +NG,+NG
M191 ERROR66,M391 ITEM 14 -NG,M,191,305,ERROR66,,,M,391,625,ITEM 14 -NG,-NG
M192 ERROR67,M392 ITEM 14 -OK,M,192,306,ERROR67,,,M,392,626,ITEM 14 -OK,-OK
M193 ERROR68,M393 ITEM 14 OK,M,193,307,ERROR68,,,M,393,627,ITEM 14 OK,OK
M194 ERROR69,M394 ITEM 14 +OK,M,194,308,ERROR69,,,M,394,628,ITEM 14 +OK,+OK
M195 ERROR70,M395 ITEM 14 +NG,M,195,309,ERROR70,,,M,395,629,ITEM 14 +NG,+NG
M196 ERROR71,M396 ITEM 15 -NG,M,196,310,ERROR71,,,M,396,630,ITEM 15 -NG,-NG
M197 ERROR72,M397 ITEM 15 -OK,M,197,311,ERROR72,,,M,397,631,ITEM 15 -OK,-OK
M198 ERROR73,M398 ITEM 15 OK,M,198,312,ERROR73,,,M,398,632,ITEM 15 OK,OK
M199 ERROR74,M399 ITEM 15 +OK,M,199,313,ERROR74,,,M,399,633,ITEM 15 +OK,+OK
M19A ERROR75,M39A ITEM 15 +NG,M,19A,314,ERROR75,,,M,39A,634,ITEM 15 +NG,+NG
M19B ERROR76,M39B ITEM 16 -NG,M,19B,315,ERROR76,,,M,39B,635,ITEM 16 -NG,-NG
M19C ERROR77,M39C ITEM 16 -OK,M,19C,316,ERROR77,,,M,39C,636,ITEM 16 -OK,-OK
M19D ERROR78,M39D ITEM 16 OK,M,19D,317,ERROR78,,,M,39D,637,ITEM 16 OK,OK
M19E ERROR79,M39E ITEM 16 +OK,M,19E,318,ERROR79,,,M,39E,638,ITEM 16 +OK,+OK
M19F ERROR80,M39F ITEM 16 +NG,M,19F,319,ERROR80,,,M,39F,639,ITEM 16 +NG,+NG
